Count,City,lons,lats
6946,"Tokyo,JP",139.69171,35.6895
3184,"New York, NY",-74.00596999999998,40.71427
2557,"Yokohama,JP",139.65,35.43333
1685,"Osaka,JP",135.50218,34.693740000000005
1381,"Paris,FR",2.3488,48.85341
1152,"Houston, T",-95.06327,31.41296
1121,"Washington, DC",-77.03636999999998,38.89511
1100,"Kawasaki,JP",139.71722,35.52056
1049,"Chicago, IL",-87.65005,41.85003
1018,"Pittsburgh, PA",-79.99589,40.44062
899,"Stamford, CT",-73.53873,41.05343
790,"London,GB2",-0.12775830000000002,51.5073509
745,"Leverkusen,DE",6.9843199999999985,51.0303
739,"Dallas, T",-96.6136,32.8479
664,"Munich,DE",11.57549,48.13743
633,"Bartlesville, OK",-95.98082,36.74731
629,"Kanagawa,JP",139.65,35.43333
611,"Wilmington, DE",-75.54659000000002,39.74595
602,"Rochester, NY",-77.61556,43.15478
562,"Minneapolis, MN",-93.26384,44.97997
548,"Stuttgart,DE",9.17702,48.78232
546,"Cincinnati, OH",-84.45689,39.162
516,"Los Angeles, CA",-118.24368,34.05223
516,"Schenectady, NY",-73.93956999999997,42.81424000000001
515,"Budapest,HU",19.03991,47.49801
509,"Toyota,JP",137.15,35.08333
500,"Armonk, NY",-73.71401999999998,41.12648
484,"Midland, MI",-102.07791,31.99735
467,"Indianapolis, IN",-86.15804,39.76838
464,"Hachioji,JP",139.32388999999998,35.65583
451,"Detroit, MI",-83.04575,42.33143
447,"Milan,IT",9.18951,45.46427
442,"Nagoya,JP",136.90641000000002,35.181470000000004
435,"St. Louis, MO",-90.19789,38.62727
416,"Moscow,SU",37.5,55.75
414,"Aichi,JP",136.90641000000002,35.181470000000004
414,"Frankfurt am Main,DE",8.68417,50.11552
404,"San Jose, CA",-121.89496,37.33939
397,"Cleveland, OH",-81.69541,41.4995
390,"Kobe,JP",135.183,34.6913
369,"Cologne,DE",6.95,50.93333
367,"Palo Alto, CA",-122.14302,37.44188
365,"Murray Hill, NJ",-74.40098,40.69538
365,"Kyoto,JP",135.75385,35.02107
364,"Akron, OH",-81.51901,41.08144
360,"Hitachi,JP",140.65,36.6
358,"Philadelphia, PA",-75.16379,39.95233
348,"San Diego, CA",-117.15726,32.71533
331,"Eindhoven,NL",5.47778,51.44083
331,"Toledo, OH",-83.55521,41.66394
320,"Kariya,JP",136.98333,34.98333
314,"Seattle, WA",-122.33207,47.60621
308,"Dayton, OH",-84.19161,39.75895
302,"San Francisco, CA",-122.41942,37.77493
298,"Milwaukee, WI",-87.90647,43.0389
295,"Yokosuka,JP",139.66722,35.28361
292,"St. Paul, MN",-93.09327,44.94441
287,"Ludwigshafen,DE",8.44641,49.48121
286,"Schaumburg, IL",-88.08341,42.03336
286,"White Plains, NY",-73.76290999999998,41.03399
273,"Austin, T",-97.7431,30.2672
270,"Phoenix, AZ",-112.07404,33.44838
266,"Cambridge, MA",-71.10561,42.3751
252,"Columbus, OH",-82.99879,39.96118
251,"Sunnyvale, CA",-122.03635,37.36883
251,"Ardsley, NY",-73.84375,41.01065
241,"Ibaraki,JP",140.45,36.35
237,"Berlin & Munich,DE",-72.6959365,-37.8098917
232,"Krefeld,DE",6.58615,51.33921
231,"Southfield, MI",-83.22187,42.47337
231,"Florham Park, NJ",-74.38821,40.78788
231,"Danbury, CT",-73.45401,41.39482
227,"Des Plaines, IL",-87.8834,42.03336
220,"Hamburg,DE",10.01534,53.57532
219,"Atlanta, GA",-84.38798,33.749
218,"Fujisawa,JP",139.47666,35.34926
215,"Wuppertal,DE",7.16755,51.27027
213,"Hirakata,JP",135.64914,34.813520000000004
211,"Basel,CH",7.57327,47.55839
211,"Nara,JP",135.80485,34.68505
210,"Richmond, VA",-77.46025999999998,37.55376
206,"Tulsa, OK",-95.99277,36.15398
204,"Berlin,DE",13.41053,52.52437
203,"Shizuoka,JP",138.38333,34.98333
201,"Princeton, NJ",-74.65905,40.34872
201,"Harrisburg, PA",-76.88441999999998,40.2737
200,"Chiba,JP",140.11667,35.6
198,"El Segundo, CA",-118.41647,33.91918
197,"Hino,JP",139.40028,35.67306
195,"Hartford, CT",-72.68509,41.76371
194,"Hiroshima,JP",132.45,34.4
191,"Dearborn, MI",-83.17631,42.32226
187,"Sakai,JP",135.46667,34.58333
185,"Berkeley, CA",-122.27275,37.87159000000001
183,"Louisville, KY",-85.75941,38.25424
182,"Okazaki,JP",137.16666999999998,34.95
181,"Katsuta,JP",140.53333,36.36667
180,"Ann Arbor, MI",-83.74088,42.27756
178,"Dusseldorf,DE",6.776160000000001,51.22172
177,"Essen,DE",7.0122800000000005,51.45657
173,"Lexington, MA",-71.2245,42.44732
170,"Hamamatsu,JP",137.73333,34.7
169,"Salt Lake City, UT",-111.89105,40.76078
166,"Kalamazoo, MI",-85.58723,42.29171
165,"Saitama,JP",139.65657,35.90807
165,"Vienna,AT",16.37208,48.20849000000001
164,"Baton Rouge, LA",-91.15455,30.45075
160,"Machida,JP",139.45083,35.54028
160,"Sagamihara,JP",139.35,35.55
160,"Fort Wayne, IN",-85.12886,41.1306
159,"Baltimore, MD",-76.61219,39.29038
159,"Skokie, IL",-87.73339,42.03336
158,"Kurashiki,JP",133.76667,34.58333
157,"Asaka,JP",139.60193999999998,35.80472
157,"Norwalk, CT",-73.4079,41.1176
156,"Minami-ashigara,JP",139.1096,35.31947
155,"Kamakura,JP",139.55028,35.30889000000001
154,"Brooklyn, NY",-73.94958000000003,40.6501
152,"Boston, MA",-71.05977,42.35843
151,"Miami, FL",-80.13005,25.79065
