Count,City,lons,lats
20598,"Tokyo,JP",139.69171,35.6895
5272,"Osaka,JP",135.50218,34.693740000000005
4744,"Kanagawa,JP",139.65,35.43333
4460,"Kawasaki,JP",139.71722,35.52056
4392,"Yokohama,JP",139.65,35.43333
2348,"New York, NY",-74.00596999999998,40.71427
2160,"Houston, T",-95.06327,31.41296
2049,"Rochester, NY",-77.61556,43.15478
2032,"San Jose, CA",-121.89496,37.33939
1600,"Austin, T",-97.7431,30.2672
1541,"Wilmington, DE",-75.54659000000002,39.74595
1524,"Kyoto,JP",135.75385,35.02107
1464,"Armonk, NY",-73.71401999999998,41.12648
1451,"Palo Alto, CA",-122.14302,37.44188
1418,"Hyogo,JP",135.183,34.6913
1356,"Dallas, T",-96.6136,32.8479
1299,"Cincinnati, OH",-84.45689,39.162
1295,"Chicago, IL",-87.65005,41.85003
1254,"Paris,FR",2.3488,48.85341
1220,"Washington, DC",-77.03636999999998,38.89511
1217,"Schaumburg, IL",-88.08341,42.03336
1212,"Shizuoka,JP",138.38333,34.98333
1200,"Saitama,JP",139.65657,35.90807
1196,"Seoul,KR",126.9784,37.566
1160,"San Diego, CA",-117.15726,32.71533
1141,"Los Angeles, CA",-118.24368,34.05223
1114,"Santa Clara, CA",-121.95524,37.35411
1037,"Nagoya,JP",136.90641000000002,35.181470000000004
1015,"St. Paul, MN",-93.09327,44.94441
998,"Ibaraki,JP",140.45,36.35
988,"Aichi,JP",136.90641000000002,35.181470000000004
957,"Sunnyvale, CA",-122.03635,37.36883
915,"Chiba,JP",140.11667,35.6
912,"Pittsburgh, PA",-79.99589,40.44062
906,"Munich,DE",11.57549,48.13743
896,"Minneapolis, MN",-93.26384,44.97997
850,"Indianapolis, IN",-86.15804,39.76838
849,"Stamford, CT",-73.53873,41.05343
832,"Midland, MI",-102.07791,31.99735
750,"Schenectady, NY",-73.93956999999997,42.81424000000001
745,"St. Louis, MO",-90.19789,38.62727
743,"Taipei,TW",121.53185,25.04776
737,"Milan,IT",9.18951,45.46427
723,"Seattle, WA",-122.33207,47.60621
695,"Murray Hill, NJ",-74.40098,40.69538
692,"Nara,JP",135.80485,34.68505
675,"Stuttgart,DE",9.17702,48.78232
669,"Kobe,JP",135.183,34.6913
654,"Hitachi,JP",140.65,36.6
651,"Leverkusen,DE",6.9843199999999985,51.0303
651,"Kariya,JP",136.98333,34.98333
646,"Hiroshima,JP",132.45,34.4
627,"Cupertino, CA",-122.03218,37.323
619,"Itami,JP",135.40126,34.78427
605,"London,GB2",-0.12775830000000002,51.5073509
604,"Hachioji,JP",139.32388999999998,35.65583
601,"Hsinchu,TW",120.96861,24.80361
591,"Mountain View, CA",-122.08385,37.38605
577,"Boulder, CO",-105.27055,40.01499
573,"Tucson, AZ",-110.92648,32.221740000000004
572,"San Francisco, CA",-122.41942,37.77493
552,"Eindhoven,NL",5.47778,51.44083
520,"Ludwigshafen,DE",8.44641,49.48121
507,"Philadelphia, PA",-75.16379,39.95233
506,"Atlanta, GA",-84.38798,33.749
504,"Cleveland, OH",-81.69541,41.4995
496,"Fremont, CA",-121.98857,37.54827
492,"Cambridge, MA",-71.10561,42.3751
488,"Nagano,JP",138.18333,36.65
483,"Ann Arbor, MI",-83.74088,42.27756
469,"Hamamatsu,JP",137.73333,34.7
462,"Phoenix, AZ",-112.07404,33.44838
462,"Sagamihara,JP",139.35,35.55
460,"Webster, NY",-77.42999,43.21229
456,"Boise, ID",-116.20345,43.6135
453,"Dearborn, MI",-83.17631,42.32226
442,"Salt Lake City, UT",-111.89105,40.76078
438,"Portland, OR",-122.67621,45.52345
436,"Berlin,DE",13.41053,52.52437
434,"Atsugi,JP",139.36931,35.44272
427,"Suwon,KR",127.00889,37.29111
426,"Plano, T",-96.6988856,33.0198431
426,"Frankfurt am Main,DE",8.68417,50.11552
424,"Toyota,JP",137.15,35.08333
422,"Newark, DE",-74.17237,40.73566
415,"Milwaukee, WI",-87.90647,43.0389
412,"Irvine, CA",-117.82311,33.66946
408,"Dayton, OH",-84.19161,39.75895
403,"Wako,JP",139.62333,35.78944
403,"Akron, OH",-81.51901,41.08144
402,"Hirakata,JP",135.64914,34.813520000000004
398,"Tsukuba,JP",140.05,36.11667
398,"Wuppertal,DE",7.16755,51.27027
395,"Yokkaichi,JP",136.61667,34.96667
394,"Nagaokakyo,JP",135.67881,34.9284
392,"Princeton, NJ",-74.65905,40.34872
391,"Milpitas, CA",-121.90662,37.42827
390,"Raleigh, NC",-78.63861,35.7721
390,"Detroit, MI",-83.04575,42.33143
389,"Menlo Park, CA",-122.18219,37.45383
388,"Highland, IL",-87.80034,42.18169
379,"Katsuta,JP",140.53333,36.36667
370,"Hiratsuka,JP",139.33735,35.32785
367,"Hino,JP",139.40028,35.67306
358,"Columbus, OH",-82.99879,39.96118
353,"Boston, MA",-71.05977,42.35843
351,"Oakland, CA",-122.2708,37.80437
348,"Los Altos, CA",-122.11413,37.38522
347,"Naperville, IL",-88.14729,41.78586
345,"Boca Raton, FL",-80.0831,26.35869000000001
343,"Madison, WI",-89.40123,43.07305
336,"Albuquerque, NM",-106.65113999999998,35.08449
328,"Fujisawa,JP",139.47666,35.34926
327,"Amagasaki,JP",135.41666999999998,34.71667
322,"Richmond, VA",-77.46025999999998,37.55376
316,"Norwalk, CT",-73.4079,41.1176
307,"Fairport, NY",-77.44194,43.09867
307,"Bartlesville, OK",-95.98082,36.74731
306,"San Antonio, T",-98.4936,29.4241
305,"Baton Rouge, LA",-91.15455,30.45075
294,"Colorado Springs, CO",-104.82136,38.83388
292,"Miami, FL",-80.13005,25.79065
290,"Shiga,JP",135.86667,35.0
287,"Machida,JP",139.45083,35.54028
287,"Scottsdale, AZ",-111.89903,33.50921
285,"Montreal,CA",-73.58781,45.50884
