Count,City,lons,lats
15783,"Tokyo, JP",139.69171,35.6895
7034,"Seoul, KR",126.9784,37.566
5255,"San Jose, CA",-121.89496,37.33939
5242,"Kanagawa, JP",139.65,35.43333
4862,"San Diego, CA",-117.15726,32.71533
4535,"Osaka, JP",135.50218,34.693740000000005
3302,"San Francisco, CA",-122.41942,37.77493
2685,"Mountain View, CA",-122.08385,37.38605
2575,"Beijing, CN",116.39723,39.9075
2476,"Sunnyvale, CA",-122.03635,37.36883
2475,"Austin, T",-97.7431,30.2672
2467,"Yokohama, JP",139.65,35.43333
2410,"Daejeon, KR",127.41972,36.32139
2397,"Houston, T",-95.06327,31.41296
2371,"Shenzhen, CN",114.0683,22.54554
2317,"Armonk, NY",-73.71401999999998,41.12648
2228,"Kawasaki, JP",139.71722,35.52056
2177,"Seattle, WA",-122.33207,47.60621
2157,"Hsinchu, TW",120.96861,24.80361
2129,"New Taipei, TW",121.46719,25.01427
2123,"Suwon-si, KR",127.00889,37.29111
2102,"Santa Clara, CA",-121.95524,37.35411
1935,"Cupertino, CA",-122.03218,37.323
1916,"Redmond, WA",-122.12151,47.67399
1832,"Palo Alto, CA",-122.14302,37.44188
1679,"Taipei, TW",121.53185,25.04776
1577,"Gyeonggi-do, KR",127.00889,37.29111
1528,"Shanghai, CN",121.45806,31.22222
1524,"Yongin-si, KR",127.17795,37.23825
1486,"New York, NY",-74.00596999999998,40.71427
1472,"Kyoto, JP",135.75385,35.02107
1351,"Fremont, CA",-121.98857,37.54827
1331,"Irvine, CA",-117.82311,33.66946
1292,"Singapore, SG",103.85007,1.28967
1279,"Anyang-si, KR",126.92694,37.3925
1170,"Chicago, IL",-87.65005,41.85003
1163,"Bellevue, WA",-122.20068,47.61038
1159,"Hsin-Chu, TW",120.96861,24.80361
1099,"Bangalore, IN",77.59369000000002,12.97194
1042,"Paris, FR",2.3488,48.85341
1027,"Yongin, KR",127.17795,37.23825
998,"Eindhoven, NL",5.47778,51.44083
997,"Nagoya, JP",136.90641000000002,35.181470000000004
951,"Cambridge, MA",-71.10561,42.3751
945,"Portland, OR",-122.67621,45.52345
938,"Taichung, TW",120.6839,24.1469
931,"Atlanta, GA",-84.38798,33.749
920,"Munich, DE",11.57549,48.13743
833,"Menlo Park, CA",-122.18219,37.45383
826,"Saitama, JP",139.65657,35.90807
812,"Plano, T",-96.6988856,33.0198431
750,"Los Altos, CA",-122.11413,37.38522
741,"Raleigh, NC",-78.63861,35.7721
723,"Boise, ID",-116.20345,43.6135
713,"London, GB",-0.12574000000000002,51.50853
698,"Toyota, JP",137.15,35.08333
689,"Stuttgart, DE",9.17702,48.78232
686,"Chiba, JP",140.11667,35.6
676,"Minneapolis, MN",-93.26384,44.97997
673,"Hwaseong-si, KR",126.8169,37.20682
672,"Dallas, T",-96.6136,32.8479
668,"Los Angeles, CA",-118.24368,34.05223
659,"Cincinnati, OH",-84.45689,39.162
653,"Shizuoka, JP",138.38333,34.98333
649,"Kanagawa-ken, JP",139.65,35.43333
645,"Waterloo, CA",-80.38593,43.45747
645,"Wako, JP",139.62333,35.78944
641,"Stockholm, SE",18.0649,59.33258000000001
639,"Wilmington, DE",-75.54659000000002,39.74595
625,"Berlin, DE",13.41053,52.52437
606,"Ann Arbor, MI",-83.74088,42.27756
600,"Boston, MA",-71.05977,42.35843
570,"St. Paul, MN",-93.09327,44.94441
562,"Ottawa, CA",-75.69811999999997,45.41117
561,"Los Gatos, CA",-121.97468,37.22661
556,"Tainan, TW",120.21333,22.99083
555,"Toronto, CA",-79.4163,43.70011
552,"Kaohsiung, TW",120.31333,22.61626
552,"Tucson, AZ",-110.92648,32.221740000000004
551,"Seongnam-si, KR",127.13778,37.43861
549,"Redwood City, CA",-122.23635,37.48522
542,"Milpitas, CA",-121.90662,37.42827
541,"Kobe, JP",135.183,34.6913
536,"Kirkland, WA",-122.20874,47.68149
534,"Carlsbad, CA",-117.35059,33.15809
531,"Saratoga, CA",-122.02301,37.26383
529,"Boulder, CO",-105.27055,40.01499
523,"Beaverton, OR",-122.80371,45.48706
513,"Ibaraki, JP",140.45,36.35
509,"Cambridge, GB",0.11667,52.2
506,"Rochester, NY",-77.61556,43.15478
495,"Hyogo, JP",135.183,34.6913
494,"Schenectady, NY",-73.93956999999997,42.81424000000001
488,"Kariya, JP",136.98333,34.98333
487,"Pleasanton, CA",-121.87468,37.66243
483,"Detroit, MI",-83.04575,42.33143
482,"San Mateo, CA",-122.32553,37.56299
480,"Oakland, CA",-122.2708,37.80437
474,"Phoenix, AZ",-112.07404,33.44838
457,"Espoo, FI",24.6522,60.2052
453,"Salt Lake City, UT",-111.89105,40.76078
452,"Guangdong, CN",113.25,23.5
449,"Pittsburgh, PA",-79.99589,40.44062
447,"Rochester, MN",-92.4699,44.02163
445,"Taoyuan County, TW",120.59056,23.60361
443,"Reno, NV",-119.8138,39.52963
436,"Las Vegas, NV",-115.13722,36.17497
430,"Cary, NC",-78.78112,35.79154000000001
429,"Durham, NC",-78.89862,35.99403
428,"Hamburg, DE",10.01534,53.57532
421,"Dearborn, MI",-83.17631,42.32226
408,"Peoria, IL",-89.58899,40.69365
403,"Lexington, MA",-71.2245,42.44732
402,"St. Louis, MO",-90.19789,38.62727
400,"Haifa, IL",34.9885,32.81841
392,"Washington, DC",-77.03636999999998,38.89511
385,"Milan, IT",9.18951,45.46427
382,"Sammamish, WA",-122.10123,47.5776
377,"Overland Park, KS",-94.67079,38.98223
376,"Basking Ridge, NJ",-74.54932,40.70621
373,"Hamamatsu, JP",137.73333,34.7
372,"Chiyoda-ku, JP",139.75363000000002,35.69402
363,"Hsinchu County, TW",120.96861,24.80361
358,"Denver, CO",-104.9847,39.73915
354,"Tel Aviv, IL",34.780570000000004,32.08088
354,"Susono, JP",138.87734,35.22551
354,"Aichi, JP",136.90641000000002,35.181470000000004
352,"San Ramon, CA",-121.97802,37.77993
349,"Hitachinaka, JP",140.55789,36.39596
348,"Gyunggi-do, KR",127.5183,37.41379999999999
347,"Atsugi, JP",139.45017,35.45460999999999
345,"Berkeley, CA",-122.27275,37.87159000000001
344,"Chandler, AZ",-111.84125,33.30616
344,"Brooklyn, NY",-73.94958000000003,40.6501
335,"Minato-ku, JP",139.73333,35.65
335,"Round Rock, T",-97.678896,30.508255100000003
335,"Campbell, CA",-75.34929,46.55011
334,"Indianapolis, IN",-86.15804,39.76838
333,"Zurich, CH",8.55,47.36667
332,"San Antonio, T",-98.4936,29.4241
332,"Foster City, CA",-122.27108,37.55855
331,"Madison, WI",-89.40123,43.07305
327,"Poughkeepsie, NY",-73.92097,41.70037
326,"Nagano, JP",138.18333,36.65
324,"Morristown, NJ",-74.48154,40.79677
322,"Fort Collins, CO",-105.08442,40.58526
319,"Troy, MI",-83.14993,42.60559
313,"Fujisawa, JP",139.47666,35.34926
310,"Calgary, CA",-114.08529,51.05011
307,"M&#xfc;nchen, DE",-96.3418048,30.620831699999997
301,"Dresden, DE",13.738320000000002,51.05089
298,"Norwalk, CT",-73.4079,41.1176
298,"Yorktown Heights, NY",-73.77763,41.27093
297,"Charlotte, NC",-80.84313,35.22709000000001
297,"Philadelphia, PA",-75.16379,39.95233
297,"Anjo, JP",137.08053999999998,34.95828
295,"Naperville, IL",-88.14729,41.78586
294,"La Jolla, CA",-117.2742,32.84727
292,"Newton, MA",-71.20922,42.33704
290,"Pasadena, CA",-118.14452,34.14778
290,"Princeton, NJ",-74.65905,40.34872
288,"Longmont, CO",-105.10193,40.16721
287,"Santa Barbara, CA",-119.69819,34.42083
285,"Hamilton, BM",-64.78303000000001,32.2949
281,"Fukuoka, JP",130.41666999999998,33.6
280,"Scottsdale, AZ",-111.89903,33.50921
280,"Helsinki, FI",24.93545,60.16952
279,"Mansfield, MA",-71.21894,42.03343
275,"Maple Grove, MN",-93.45579,45.07246
274,"Hong Kong, CN",114.15901,22.28589
274,"Vancouver, CA",-123.11934,49.24966
273,"Sagamihara, JP",139.35,35.55
