Count,City,lons,lats
11087,"Tokyo,JP",139.69171,35.6895
3054,"New York, NY",-74.00596999999998,40.71427
2693,"Yokohama,JP",139.65,35.43333
2608,"Osaka,JP",135.50218,34.693740000000005
2284,"Kanagawa,JP",139.65,35.43333
1691,"Houston, T",-95.06327,31.41296
1674,"Kawasaki,JP",139.71722,35.52056
1360,"Paris,FR",2.3488,48.85341
1210,"Washington, DC",-77.03636999999998,38.89511
1135,"Pittsburgh, PA",-79.99589,40.44062
1088,"Chicago, IL",-87.65005,41.85003
876,"London,GB2",-0.12775830000000002,51.5073509
805,"Leverkusen,DE",6.9843199999999985,51.0303
796,"Stamford, CT",-73.53873,41.05343
795,"Dallas, T",-96.6136,32.8479
792,"Kyoto,JP",135.75385,35.02107
789,"Midland, MI",-102.07791,31.99735
770,"Aichi,JP",136.90641000000002,35.181470000000004
752,"Munich,DE",11.57549,48.13743
748,"Los Angeles, CA",-118.24368,34.05223
721,"Princeton, NJ",-74.65905,40.34872
718,"Wilmington, DE",-75.54659000000002,39.74595
708,"Saitama,JP",139.65657,35.90807
656,"Toyota,JP",137.15,35.08333
649,"Rochester, NY",-77.61556,43.15478
640,"Armonk, NY",-73.71401999999998,41.12648
629,"Cincinnati, OH",-84.45689,39.162
607,"Minneapolis, MN",-93.26384,44.97997
602,"Nagoya,JP",136.90641000000002,35.181470000000004
602,"Budapest,HU",19.03991,47.49801
592,"San Jose, CA",-121.89496,37.33939
571,"Stuttgart,DE",9.17702,48.78232
561,"Bartlesville, OK",-95.98082,36.74731
560,"Hitachi,JP",140.65,36.6
557,"Milan,IT",9.18951,45.46427
533,"Palo Alto, CA",-122.14302,37.44188
521,"Hachioji,JP",139.32388999999998,35.65583
517,"Detroit, MI",-83.04575,42.33143
515,"Schenectady, NY",-73.93956999999997,42.81424000000001
499,"Ibaraki,JP",140.45,36.35
490,"Kobe,JP",135.183,34.6913
488,"Hyogo,JP",135.183,34.6913
487,"San Diego, CA",-117.15726,32.71533
486,"Cleveland, OH",-81.69541,41.4995
458,"Indianapolis, IN",-86.15804,39.76838
456,"St. Louis, MO",-90.19789,38.62727
451,"Kariya,JP",136.98333,34.98333
450,"Hiroshima,JP",132.45,34.4
444,"Eindhoven,NL",5.47778,51.44083
437,"Chiba,JP",140.11667,35.6
420,"Shizuoka,JP",138.38333,34.98333
419,"St. Paul, MN",-93.09327,44.94441
410,"Schaumburg, IL",-88.08341,42.03336
406,"Dayton, OH",-84.19161,39.75895
396,"San Francisco, CA",-122.41942,37.77493
389,"Seattle, WA",-122.33207,47.60621
374,"Murray Hill, NJ",-74.40098,40.69538
354,"Phoenix, AZ",-112.07404,33.44838
349,"Akron, OH",-81.51901,41.08144
343,"Nara,JP",135.80485,34.68505
336,"Sunnyvale, CA",-122.03635,37.36883
332,"Cologne,DE",6.95,50.93333
322,"Ludwigshafen,DE",8.44641,49.48121
319,"Austin, T",-97.7431,30.2672
313,"Philadelphia, PA",-75.16379,39.95233
297,"Yokosuka,JP",139.66722,35.28361
290,"Berlin,DE",13.41053,52.52437
287,"Moscow,SU",37.5,55.75
287,"Hamburg,DE",10.01534,53.57532
286,"Richmond, VA",-77.46025999999998,37.55376
286,"Milwaukee, WI",-87.90647,43.0389
284,"Frankfurt am Main,DE",8.68417,50.11552
283,"Cambridge, MA",-71.10561,42.3751
281,"Wuppertal,DE",7.16755,51.27027
278,"Hino,JP",139.40028,35.67306
275,"Katsuta,JP",140.53333,36.36667
274,"Danbury, CT",-73.45401,41.39482
273,"Troy, MI",-83.14993,42.60559
272,"Sagamihara,JP",139.35,35.55
270,"Toledo, OH",-83.55521,41.66394
264,"Miami, FL",-80.13005,25.79065
262,"White Plains, NY",-73.76290999999998,41.03399
256,"Okazaki,JP",137.16666999999998,34.95
252,"Columbus, OH",-82.99879,39.96118
251,"Ardsley, NY",-73.84375,41.01065
251,"Florham Park, NJ",-74.38821,40.78788
244,"Essen,DE",7.0122800000000005,51.45657
240,"Tulsa, OK",-95.99277,36.15398
239,"Ann Arbor, MI",-83.74088,42.27756
238,"Fujisawa,JP",139.47666,35.34926
234,"Rockford, IL",-89.094,42.27113
231,"Montreal,CA",-73.58781,45.50884
220,"Norwalk, CT",-73.4079,41.1176
219,"Krefeld,DE",6.58615,51.33921
219,"Harrisburg, PA",-76.88441999999998,40.2737
219,"Vienna,AT",16.37208,48.20849000000001
216,"Tucson, AZ",-110.92648,32.221740000000004
212,"Baton Rouge, LA",-91.15455,30.45075
212,"Hirakata,JP",135.64914,34.813520000000004
212,"Hartford, CT",-72.68509,41.76371
197,"Louisville, KY",-85.75941,38.25424
196,"Santa Clara, CA",-121.95524,37.35411
195,"Boston, MA",-71.05977,42.35843
