Count,City,lons,lats
5638,"Tokyo,JP",139.69171,35.6895
3666,"New York, NY",-74.00596999999998,40.71427
1795,"Yokohama,JP",139.65,35.43333
1531,"Paris,FR",2.3488,48.85341
1375,"Osaka,JP",135.50218,34.693740000000005
1351,"Chicago, IL",-87.65005,41.85003
1329,"Washington, DC",-77.03636999999998,38.89511
1321,"Pittsburgh, PA",-79.99589,40.44062
1189,"Houston, T",-95.06327,31.41296
953,"London,GB2",-0.12775830000000002,51.5073509
903,"Stamford, CT",-73.53873,41.05343
867,"Leverkusen,DE",6.9843199999999985,51.0303
767,"Los Angeles, CA",-118.24368,34.05223
766,"Moscow,SU",37.5,55.75
760,"Kawasaki,JP",139.71722,35.52056
742,"Munich,DE",11.57549,48.13743
692,"Rochester, NY",-77.61556,43.15478
664,"Dallas, T",-96.6136,32.8479
662,"Cincinnati, OH",-84.45689,39.162
653,"Bartlesville, OK",-95.98082,36.74731
629,"Milan,IT",9.18951,45.46427
628,"St. Louis, MO",-90.19789,38.62727
607,"Wilmington, DE",-75.54659000000002,39.74595
567,"Detroit, MI",-83.04575,42.33143
567,"Midland, MI",-102.07791,31.99735
531,"Minneapolis, MN",-93.26384,44.97997
527,"Schenectady, NY",-73.93956999999997,42.81424000000001
500,"Cleveland, OH",-81.69541,41.4995
489,"Toyota,JP",137.15,35.08333
471,"Philadelphia, PA",-75.16379,39.95233
455,"Palo Alto, CA",-122.14302,37.44188
454,"Akron, OH",-81.51901,41.08144
454,"Indianapolis, IN",-86.15804,39.76838
450,"Toledo, OH",-83.55521,41.66394
438,"Stuttgart,DE",9.17702,48.78232
432,"San Jose, CA",-121.89496,37.33939
400,"Armonk, NY",-73.71401999999998,41.12648
398,"Frankfurt am Main,DE",8.68417,50.11552
394,"Dayton, OH",-84.19161,39.75895
385,"Budapest,HU",19.03991,47.49801
375,"Cologne,DE",6.95,50.93333
360,"Hitachi,JP",140.65,36.6
340,"San Diego, CA",-117.15726,32.71533
337,"Murray Hill, NJ",-74.40098,40.69538
330,"Eindhoven,NL",5.47778,51.44083
328,"San Francisco, CA",-122.41942,37.77493
327,"Kalamazoo, MI",-85.58723,42.29171
326,"Minami-ashigara,JP",139.1096,35.31947
323,"Ardsley, NY",-73.84375,41.01065
323,"Seattle, WA",-122.33207,47.60621
320,"Cambridge, MA",-71.10561,42.3751
319,"Hachioji,JP",139.32388999999998,35.65583
303,"Kyoto,JP",135.75385,35.02107
303,"Nagoya,JP",136.90641000000002,35.181470000000004
292,"Princeton, NJ",-74.65905,40.34872
291,"Berlin,DE",13.41053,52.52437
290,"Phoenix, AZ",-112.07404,33.44838
290,"Peoria, IL",-89.58899,40.69365
288,"Hamamatsu,JP",137.73333,34.7
286,"Louisville, KY",-85.75941,38.25424
283,"White Plains, NY",-73.76290999999998,41.03399
282,"Milwaukee, WI",-87.90647,43.0389
276,"Richmond, VA",-77.46025999999998,37.55376
275,"Berlin & Munich,DE",-72.6959365,-37.8098917
272,"Krefeld,DE",6.58615,51.33921
271,"Kobe,JP",135.183,34.6913
267,"Basel,CH",7.57327,47.55839
263,"Ludwigshafen,DE",8.44641,49.48121
258,"Des Plaines, IL",-87.8834,42.03336
250,"Brooklyn, NY",-73.94958000000003,40.6501
247,"Ann Arbor, MI",-83.74088,42.27756
242,"St. Paul, MN",-93.09327,44.94441
240,"Florham Park, NJ",-74.38821,40.78788
238,"Aichi,JP",136.90641000000002,35.181470000000004
234,"Schaumburg, IL",-88.08341,42.03336
233,"Tulsa, OK",-95.99277,36.15398
230,"Denver, CO",-104.9847,39.73915
216,"Salt Lake City, UT",-111.89105,40.76078
211,"Hamburg,DE",10.01534,53.57532
211,"Essen,DE",7.0122800000000005,51.45657
209,"Sunnyvale, CA",-122.03635,37.36883
209,"Southfield, MI",-83.22187,42.47337
205,"Portland, OR",-122.67621,45.52345
202,"Wuppertal,DE",7.16755,51.27027
201,"Kariya,JP",136.98333,34.98333
201,"Lexington, MA",-71.2245,42.44732
200,"Miami, FL",-80.13005,25.79065
199,"Hino,JP",139.40028,35.67306
196,"Vienna,AT",16.37208,48.20849000000001
196,"Columbus, OH",-82.99879,39.96118
193,"Dusseldorf,DE",6.776160000000001,51.22172
189,"Dearborn, MI",-83.17631,42.32226
189,"Nutley, NJ",-74.15987,40.82232
188,"Amagasaki,JP",135.41666999999998,34.71667
188,"Austin, T",-97.7431,30.2672
187,"Turin,IT",7.68682,45.07049
187,"Baltimore, MD",-76.61219,39.29038
186,"Naperville, IL",-88.14729,41.78586
183,"Corning, NY",-76.89107,42.1598
182,"Birmingham,GB2",-86.80248999999998,33.5206608
177,"Montreal,CA",-73.58781,45.50884
176,"Rahway, NJ",-74.27765,40.60816
175,"Boston, MA",-71.05977,42.35843
174,"Sakai,JP",135.46667,34.58333
174,"Darmstadt,DE",8.650269999999999,49.87167
172,"Hartford, CT",-72.68509,41.76371
170,"Pasadena, CA",-118.14452,34.14778
169,"Toronto,CA",-79.4163,43.70011
167,"Takatsuki,JP",135.61678,34.84833
164,"Tokorozawa,JP",139.46903,35.79916
162,"Ibaraki,JP",140.45,36.35
160,"Atlanta, GA",-84.38798,33.749
159,"Kawagoe,JP",139.48528000000002,35.90861
159,"Kiev,SU",30.799532899999996,50.511249
157,"Oak Brook, IL",-87.92895,41.83281
157,"Madison, WI",-89.40123,43.07305
155,"Baton Rouge, LA",-91.15455,30.45075
154,"Ottawa,CA",-75.69811999999997,45.41117
154,"Skokie, IL",-87.73339,42.03336
153,"Greenwich, CT",-73.62846,41.02649
153,"Machida,JP",139.45083,35.54028
151,"Yokosuka,JP",139.66722,35.28361
148,"Hiroshima,JP",132.45,34.4
147,"Zurich,CH",8.55,47.36667
147,"Chiba,JP",140.11667,35.6
146,"Troy, MI",-83.14993,42.60559
145,"Boulder, CO",-105.27055,40.01499
145,"Shizuoka,JP",138.38333,34.98333
144,"Deerfield, IL",-87.84451,42.17114
143,"Santa Clara, CA",-121.95524,37.35411
142,"Frankfurt,DE",8.68417,50.11552
142,"Nara,JP",135.80485,34.68505
140,"New Haven, CT",-72.92815999999998,41.30815
140,"Kanagawa,JP",139.65,35.43333
140,"Okazaki,JP",137.16666999999998,34.95
139,"Toyonaka,JP",135.46931999999998,34.78244
138,"Berkeley, CA",-122.27275,37.87159000000001
138,"Silver Spring, MD",-77.02609,38.99067
137,"Fullerton, CA",-117.92534,33.870290000000004
137,"Fort Wayne, IN",-85.12886,41.1306
137,"Mannheim,DE",8.47955,49.49671
136,"Glenview, IL",-87.78784,42.06975
135,"Santa Ana, CA",-117.86783,33.74557
135,"Frankenthal,DE",8.35357,49.53414
135,"Lancaster, PA",-76.30551,40.03788
135,"Waltham, MA",-71.23561,42.37649
135,"Tucson, AZ",-110.92648,32.221740000000004
133,"Brussels,BE",4.3487800000000005,50.85045
133,"Stockholm,SE",18.0649,59.33258000000001
130,"Menlo Park, CA",-122.18219,37.45383
130,"Bridgewater, NJ",-74.64815,40.60079
130,"Westport, CT",-73.3579,41.14149000000001
129,"New Orleans, LA",-90.07507,29.95465
129,"Kamakura,JP",139.55028,35.30889000000001
128,"Cherry Hill, NJ",-75.03073,39.93484
128,"Harrisburg, PA",-76.88441999999998,40.2737
128,"Syracuse, NY",-76.14742,43.04812
127,"Long Beach, CA",-118.18923,33.76696
125,"Fujisawa,JP",139.47666,35.34926
125,"Scottsdale, AZ",-111.89903,33.50921
124,"Kadoma,JP",135.57442,34.7381
124,"Culver City, CA",-118.39647,34.02112
124,"Oklahoma City, OK",-97.51643,35.46756
124,"Katsuta,JP",140.53333,36.36667
122,"Morris Township, Morris County, NJ",-74.58148,40.84829000000001
122,"Charlotte, NC",-80.84313,35.22709000000001
122,"Birmingham, MI",-83.21132,42.5467
121,"El Segundo, CA",-118.41647,33.91918
121,"Hirakata,JP",135.64914,34.813520000000004
121,"North Chicago, IL",-87.65005,41.85003
121,"Holmdel, NJ",-74.18403,40.34511
120,"Marl,DE",7.0903800000000015,51.65671
119,"Los Altos, CA",-122.11413,37.38522
119,"Newport Beach, CA",-117.92895,33.61891
119,"Asaka,JP",139.60193999999998,35.80472
117,"Waukegan, IL",-87.84479,42.36363
116,"Hanover,DE",-78.13333,18.41667
116,"Ponca City, OK",-97.08559,36.70698
113,"Graz,AT",15.45,47.06667
113,"Webster, NY",-77.42999,43.21229
112,"Mountain View, CA",-122.08385,37.38605
112,"Kansas City, MO",-94.57857,39.09973
112,"Sagamihara,JP",139.35,35.55
111,"Rolling Meadows, IL",-88.01313,42.08419
111,"Grand Rapids, MI",-85.66809,42.96336
110,"Pittsfield, MA",-73.24538000000003,42.45008
110,",JP",114.60938,32.249970000000005
109,"Arlington Heights, IL",-87.98063,42.08836
109,"Monroeville, PA",-79.7881,40.42118
109,"Urawa,JP",139.65318,35.87347000000001
109,"Erie, PA",-80.08506,42.12922
109,"Zug,CH",8.51745,47.17242
108,"Wiesbaden,DE",8.249319999999999,50.08258
107,"Kurashiki,JP",133.76667,34.58333
106,"Fuji,JP",138.73333,35.36667
106,"Erlangen,DE",11.00783,49.59099000000001
106,"Evanston, IL",-87.69006,42.04114000000001
105,"Winterthur,CH",8.72413,47.50564
105,"Anaheim, CA",-117.9145,33.83529
105,"Kingsport, TN",-82.56182,36.54843
104,"Kodaira,JP",139.48173,35.72738
104,"Norwalk, CT",-73.4079,41.1176
104,"Geneva,CH",6.14569,46.20222
104,"Nishinomiya,JP",135.33199,34.71562
104,"Nuremberg,DE",11.07752,49.45421
103,"Westfield, NJ",-74.34737,40.65899
102,"Morris Plains, NJ",-74.48099,40.82177
101,"Irvine, CA",-117.82311,33.66946
101,"Prague,CS",14.41711,50.06509000000001
