Count,City,lons,lats
29555,"Tokyo,JP",139.69171,35.6895
6709,"Osaka,JP",135.50218,34.693740000000005
5819,"Kawasaki,JP",139.71722,35.52056
5067,"Yokohama,JP",139.65,35.43333
4513,"Kanagawa,JP",139.65,35.43333
4161,"San Jose, CA",-121.89496,37.33939
3511,"Palo Alto, CA",-122.14302,37.44188
3025,"Sunnyvale, CA",-122.03635,37.36883
2908,"Houston, T",-95.06327,31.41296
2898,"New York, NY",-74.00596999999998,40.71427
2852,"Austin, T",-97.7431,30.2672
2759,"Rochester, NY",-77.61556,43.15478
2698,"Seoul,KR",126.9784,37.566
2640,"Santa Clara, CA",-121.95524,37.35411
2597,"San Diego, CA",-117.15726,32.71533
2517,"Boise, ID",-116.20345,43.6135
2419,"Armonk, NY",-73.71401999999998,41.12648
1985,"Paris,FR",2.3488,48.85341
1897,"Cincinnati, OH",-84.45689,39.162
1763,"Mountain View, CA",-122.08385,37.38605
1622,"Kyoto,JP",135.75385,35.02107
1611,"Chicago, IL",-87.65005,41.85003
1573,"Wilmington, DE",-75.54659000000002,39.74595
1554,"Suwon,KR",127.00889,37.29111
1525,"Dallas, T",-96.6136,32.8479
1509,"Seattle, WA",-122.33207,47.60621
1501,"Hsinchu,TW",120.96861,24.80361
1498,"Taipei,TW",121.53185,25.04776
1440,"Fremont, CA",-121.98857,37.54827
1428,"San Francisco, CA",-122.41942,37.77493
1392,"Cupertino, CA",-122.03218,37.323
1366,"Nagoya,JP",136.90641000000002,35.181470000000004
1301,"Saitama,JP",139.65657,35.90807
1273,"Hyogo,JP",135.183,34.6913
1266,"Kanagawa-ken,JP",139.65,35.43333
1245,"Minneapolis, MN",-93.26384,44.97997
1225,"Murray Hill, NJ",-74.40098,40.69538
1193,"Munich,DE",11.57549,48.13743
1164,"Schaumburg, IL",-88.08341,42.03336
1155,"Los Angeles, CA",-118.24368,34.05223
1139,"Chiba,JP",140.11667,35.6
1083,"Stuttgart,DE",9.17702,48.78232
1075,"Washington, DC",-77.03636999999998,38.89511
1059,"Shizuoka,JP",138.38333,34.98333
1035,"St. Louis, MO",-90.19789,38.62727
1019,"Kariya,JP",136.98333,34.98333
1003,"St. Paul, MN",-93.09327,44.94441
975,"Indianapolis, IN",-86.15804,39.76838
974,"Kawasaki ,JP",139.71722,35.52056
962,"Plano, T",-96.6988856,33.0198431
960,"Boulder, CO",-105.27055,40.01499
952,"Cambridge, MA",-71.10561,42.3751
951,"Pittsburgh, PA",-79.99589,40.44062
896,"Hamamatsu,JP",137.73333,34.7
885,"Redmond, WA",-122.12151,47.67399
880,"Stamford, CT",-73.53873,41.05343
822,"Ann Arbor, MI",-83.74088,42.27756
819,"Milpitas, CA",-121.90662,37.42827
817,"Atlanta, GA",-84.38798,33.749
806,"Milan,IT",9.18951,45.46427
806,"Kanagawa ,JP",139.65,35.43333
804,"San Jose , CA",-121.89496,37.33939
799,"Cleveland, OH",-81.69541,41.4995
785,"Yokohama ,JP",139.65,35.43333
783,"Phoenix, AZ",-112.07404,33.44838
782,"Toyota,JP",137.15,35.08333
781,"Eindhoven,NL",5.47778,51.44083
775,"Raleigh, NC",-78.63861,35.7721
774,"Portland, OR",-122.67621,45.52345
763,"Hsin-Chu,TW",120.96861,24.80361
735,"Midland, MI",-102.07791,31.99735
728,"Ibaraki,JP",140.45,36.35
720,"Boston, MA",-71.05977,42.35843
713,"Los Altos, CA",-122.11413,37.38522
711,"Menlo Park, CA",-122.18219,37.45383
708,"Aichi,JP",136.90641000000002,35.181470000000004
689,"Oakland, CA",-122.2708,37.80437
688,"Aichi-ken,JP",136.90641000000002,35.181470000000004
682,"Irvine, CA",-117.82311,33.66946
682,"Princeton, NJ",-74.65905,40.34872
677,"London,GB",-0.12574000000000002,51.50853
674,"Stockholm,SE",18.0649,59.33258000000001
644,"Philadelphia, PA",-75.16379,39.95233
640,"Wako,JP",139.62333,35.78944
631,"Saitama-ken,JP",139.65657,35.90807
629,"Kobe,JP",135.183,34.6913
626,"Ludwigshafen,DE",8.44641,49.48121
619,"Hitachi,JP",140.65,36.6
610,"Madison, WI",-89.40123,43.07305
608,"Nagano,JP",138.18333,36.65
606,"Schenectady, NY",-73.93956999999997,42.81424000000001
603,"San Antonio, T",-98.4936,29.4241
597,"Berlin,DE",13.41053,52.52437
587,"Leverkusen,DE",6.9843199999999985,51.0303
584,"Tucson, AZ",-110.92648,32.221740000000004
574,"Lexington, KY",-84.47771999999998,37.98869000000001
573,"Los Gatos, CA",-121.97468,37.22661
565,"Dearborn, MI",-83.17631,42.32226
564,"Rochester, MN",-92.4699,44.02163
562,"Albuquerque, NM",-106.65113999999998,35.08449
556,"Salt Lake City, UT",-111.89105,40.76078
545,"New York , NY",-74.00596999999998,40.71427
542,"Montreal,CA",-73.58781,45.50884
541,"Baltimore, MD",-76.61219,39.29038
538,"Nara,JP",135.80485,34.68505
532,"Saratoga, CA",-122.02301,37.26383
532,"Beaverton, OR",-122.80371,45.48706
531,"Yokkaichi,JP",136.61667,34.96667
528,"Hachioji,JP",139.32388999999998,35.65583
524,"Austin , T",114.14443,22.27325
518,"Webster, NY",-77.42999,43.21229
512,"Dayton, OH",-84.19161,39.75895
510,"Miami, FL",-80.13005,25.79065
503,"Shizuoka-ken,JP",138.38333,34.98333
502,"Daejeon,KR",127.41972,36.32139
500,"Lexington, MA",-71.2245,42.44732
498,"Taichung,TW",120.6839,24.1469
496,"Colorado Springs, CO",-104.82136,38.83388
470,"Carlsbad, CA",-117.35059,33.15809
470,"Espoo,FI",24.6522,60.2052
466,"Hiroshima,JP",132.45,34.4
465,"Taipei Hsien,TW",121.53185,25.04776
459,"Akron, OH",-81.51901,41.08144
458,"Fujisawa,JP",139.47666,35.34926
457,"Tsukuba,JP",140.05,36.11667
455,"Okazaki,JP",137.16666999999998,34.95
439,"Sagamihara,JP",139.35,35.55
436,"Frankfurt,DE",8.68417,50.11552
435,"Charlotte, NC",-80.84313,35.22709000000001
430,"Milwaukee, WI",-87.90647,43.0389
429,"Redwood City, CA",-122.23635,37.48522
424,"Naperville, IL",-88.14729,41.78586
423,"Hirakata,JP",135.64914,34.813520000000004
422,"Cary, NC",-78.78112,35.79154000000001
419,"Memphis, TN",-90.04898,35.14953
418,"Detroit, MI",-83.04575,42.33143
414,"Toronto,CA",-79.4163,43.70011
412,"Hiratsuka,JP",139.33735,35.32785
410,"Armonk , NY",-73.71401999999998,41.12648
407,"Suwa,JP",138.11308,36.03799
405,"Durham, NC",-78.89862,35.99403
405,"Chandler, AZ",-111.84125,33.30616
401,"Ibaraki-ken,JP",140.45,36.35
400,"Newark, DE",-74.17237,40.73566
400,"Singapore,SG",103.85007,1.28967
397,"Bellevue, WA",-122.20068,47.61038
391,"Anjo,JP",137.08053999999998,34.95828
388,"Hitachinaka,JP",140.55789,36.39596
387,"Mississauga,CA",-79.6583,43.5789
383,"Ebina,JP",135.38333,35.43333
382,"Peoria, IL",-89.58899,40.69365
379,"Itami,JP",135.40126,34.78427
377,"Pasadena, CA",-118.14452,34.14778
374,"Vancouver,CA",-123.11934,49.24966
374,"Orlando, FL",-81.37924,28.53834
373,"Munchen,DE",11.57549,48.13743
373,"La Jolla, CA",-117.2742,32.84727
372,"Wuppertal,DE",7.16755,51.27027
367,"Troy, MI",-83.14993,42.60559
365,"Baton Rouge, LA",-91.15455,30.45075
364,"Atsugi,JP",139.36931,35.44272
361,"Rockville, MD",-77.15276,39.084
360,"Berkeley, CA",-122.27275,37.87159000000001
359,"Danbury, CT",-73.45401,41.39482
358,"Holland, MI",-86.10893,42.78752
357,"Knoxville, TN",-83.92074000000002,35.96064000000001
353,"Okayama,JP",133.93333,34.65
351,"Toledo, OH",-83.55521,41.66394
348,"Boca Raton, FL",-80.0831,26.35869000000001
348,"Richardson, T",-75.3435,39.9247
347,"Moscow,RU",37.61556,55.75222
347,"Fairport, NY",-77.44194,43.09867
343,"Chapel Hill, NC",-79.05584,35.9132
342,"Hamburg,DE",10.01534,53.57532
339,"Pleasanton, CA",-121.87468,37.66243
336,"Santa Barbara, CA",-119.69819,34.42083
334,"Scottsdale, AZ",-111.89903,33.50921
333,"Denver, CO",-104.9847,39.73915
332,"Columbus, OH",-82.99879,39.96118
330,"Fort Collins, CO",-105.08442,40.58526
329,"Round Rock, T",-97.678896,30.508255100000003
329,"Hino,JP",139.40028,35.67306
326,"Research Triangle Park, NC",-78.86029,35.89709000000001
325,"Sakai,JP",135.46667,34.58333
325,"Helsinki,FI",24.93545,60.16952
323,"Kingsport, TN",-82.56182,36.54843
321,"Ottawa,CA",-75.69811999999997,45.41117
321,"Osaka-fu,JP",135.50218,34.693740000000005
321,"Machida,JP",139.45083,35.54028
320,"Wakayama,JP",135.16666999999998,34.23333
315,"Cambridge,GB",0.11667,52.2
313,"Auburn Hills, MI",-83.2341,42.68753
312,"Bethesda, MD",-77.10025999999998,38.98067
308,"Pittsford, NY",-77.515,43.09062
308,"Tempe, AZ",-111.90931,33.414770000000004
308,"Dallas , T",-96.6136,32.8479
306,"Scotts Valley, CA",-122.01468,37.05106
306,"Miyagi,JP",140.86667,38.26667
306,"Kodaira,JP",139.48173,35.72738
303,"Cincinnati , OH",-84.45689,39.162
297,"Torrance, CA",-118.34063,33.83585
296,"Calgary,CA",-114.08529,51.05011
295,"Shiga,JP",135.86667,35.0
294,"Amagasaki,JP",135.41666999999998,34.71667
292,"Newton, MA",-71.20922,42.33704
292,"Hyogo-ken,JP",135.183,34.6913
292,"Woodbury, MN",-92.95938,44.92386
292,"Cedar Rapids, IA",-91.64407,42.00833
289,"Neenah, WI",-88.46261,44.18582
289,"Livermore, CA",-121.76801,37.68187
288,"Brookline, MA",-71.12116,42.33176
287,"San Mateo, CA",-122.32553,37.56299
286,"Brooklyn, NY",-73.94958000000003,40.6501
286,"Tarrytown, NY",-73.85875,41.07621
285,"Thousand Oaks, CA",-118.83759,34.170559999999995
284,"Huntington Beach, CA",-117.99923,33.6603
282,"Vancouver, WA",-122.66149,45.63873
282,"Grand Rapids, MI",-85.66809,42.96336
280,"Carrollton, T",-96.88996359999999,32.975641499999995
280,"Allentown, PA",-75.49018000000002,40.60843
278,"Kalamazoo, MI",-85.58723,42.29171
278,"Las Vegas, NV",-115.13722,36.17497
277,"Bridgewater, NJ",-74.64815,40.60079
276,"Redondo Beach, CA",-118.38841,33.84918
274,"Norwalk, CT",-73.4079,41.1176
271,"Richmond, VA",-77.46025999999998,37.55376
271,"Appleton, WI",-88.41538,44.26193
270,"Neyagawa,JP",135.62759,34.76615
269,"Gainesville, FL",-82.32483,29.65163
266,"Gilbert, AZ",-111.78903,33.35283
266,"Davis, CA",-121.74052,38.54491
263,"Takatsuki,JP",135.61678,34.84833
262,"Farmington Hills, MI",-83.37716,42.48531
262,"Mesa, AZ",-111.83189,33.41253
262,"Taipei ,TW",121.53185,25.04776
257,"Encinitas, CA",-117.29198,33.03699
256,"Nagoya ,JP",136.90641000000002,35.181470000000004
255,"Kokubunji,JP",139.47556,35.70222000000001
253,"Kanagawa-ken ,JP",139.65,35.43333
253,"Ichihara,JP",140.08333000000002,35.51667
252,"Wilmington , DE",-75.54659000000002,39.74595
251,"Racine, WI",-87.78285,42.72613
250,"Jerusalem,IL",35.21961,31.781990000000004
250,"Mannheim,DE",8.47955,49.49671
249,"Tokyo-to,JP",140.05077,31.43885
249,"Fukuoka,JP",130.41666999999998,33.6
249,"Gaithersburg, MD",-77.20137,39.14344000000001
248,"Kowloon,HK",114.18333,22.31667
247,"Louisville, KY",-85.75941,38.25424
245,"Heidelberg,DE",8.69079,49.40768
243,"Middletown, NJ",-74.11709,40.39428
243,"Alpharetta, GA",-84.29409,34.07538
242,"El Segundo, CA",-118.41647,33.91918
241,"Aachen,DE",6.0834199999999985,50.77664
239,"Poughkeepsie, NY",-73.92097,41.70037
239,"Iwata,JP",137.75,34.91667
237,"Dusseldorf,DE",6.776160000000001,51.22172
236,"Odawara,JP",139.15972,35.25556
235,"Des Plaines, IL",-87.8834,42.03336
235,"Rochester Hills, MI",-83.14993,42.65837
235,"Susono,JP",138.87734,35.22551
235,"Arlington, MA",-71.15644,42.41537
234,"Mission Viejo, CA",-117.672,33.60002
234,"Funabashi,JP",139.98648,35.70129
234,"Arlington, T",-77.1067698,38.879969700000004
233,"Hillsboro, OR",-122.98983,45.52289
233,"Krefeld,DE",6.58615,51.33921
233,"Tulsa, OK",-95.99277,36.15398
233,"Fort Worth, T",-97.3307658,32.7554883
232,"Omiya,JP",140.41666999999998,36.55
231,"Haifa,IL",34.9885,32.81841
228,"Utsunomiya,JP",139.88333,36.56667
228,"Schaumburg , IL",-88.08341,42.03336
227,"Chigasaki,JP",139.40434,35.33638
227,"San Carlos, CA",-122.25052,37.51077
227,"Columbus, IN",-85.92138,39.20144000000001
227,"Penfield, NY",-77.47555,43.13034
226,"West Chester, OH",-84.40716,39.33172
226,"Southfield, MI",-83.22187,42.47337
225,"Morgan Hill, CA",-121.65439,37.1305
224,"Foster City, CA",-122.27108,37.55855
224,"Indianapolis , IN",-86.15804,39.76838
224,"Gunma-ken,JP",139.08333000000002,36.4
224,"Vienna,AT",16.37208,48.20849000000001
223,"Longmont, CO",-105.10193,40.16721
223,"Nampa, ID",-116.56346,43.54072
222,"Garland, T",-96.6388833,32.912624
222,"Maple Grove, MN",-93.45579,45.07246
222,"Bloomington, MN",-93.17848,44.95751
221,"Jacksonville, FL",-81.65565,30.33218
221,"Kadoma,JP",135.57442,34.7381
221,"Nashville, TN",-86.78444,36.16589000000001
220,"Los Altos Hills, CA",-122.13746,37.37966
220,"Acton, MA",-71.43284,42.48509
220,"Palatine, IL",-88.03424,42.1103
220,"Carmel, IN",-86.11804000000002,39.97837
219,"Mobara,JP",140.29608000000002,35.42583
219,"Westfield, NJ",-74.34737,40.65899
219,"Toyokawa,JP",137.4,34.81667
218,"Tokorozawa,JP",139.46903,35.79916
217,"Tampa, FL",-82.45843,27.94752
217,"Darmstadt,DE",8.650269999999999,49.87167
216,"Corvallis, OR",-123.26203999999998,44.56457
215,"Piscataway, NJ",-74.39904,40.49927
215,"Zurich,CH",8.55,47.36667
214,"Kawagoe,JP",139.48528000000002,35.90861
214,"Yokosuka,JP",139.66722,35.28361
214,"Marietta, GA",-84.54993,33.9526
214,"Kirkland, WA",-122.20874,47.68149
214,"Basel,CH",7.57327,47.55839
213,"Koln,DE",6.95,50.93333
213,"Melbourne, FL",-80.60811,28.08363
212,"The Woodlands, T",-95.4612625,30.1658207
212,"Birmingham, AL",-86.80249,33.52066
210,"Escondido, CA",-117.08642,33.119209999999995
210,"Edison, NJ",-74.4121,40.51872
209,"Numazu,JP",138.86667,35.1
209,"Campbell, CA",-75.34929,46.55011
209,"Lincoln, NE",-96.66696,40.8
208,"Kurashiki,JP",133.76667,34.58333
208,"Rahway, NJ",-74.27765,40.60816
208,"Washington , DC",-77.03636999999998,38.89511
207,"Santa Cruz, CA",-122.0308,36.97412
207,"Hadano,JP",139.22361,35.37110999999999
207,"Mishima,JP",135.65325,34.89887
207,"Spring, T",121.34247,23.2808
207,"Morristown, NJ",-74.48154,40.79677
205,"Greensboro, NC",-79.79198000000002,36.07264
204,"Edmonton,CA",-113.46871000000002,53.55014
203,"Yamanashi-ken,JP",138.56667,35.66667
203,"Ontario,CA",-84.49983,49.25014
202,"Barcelona,ES",2.15899,41.38879
202,"Kariya ,JP",136.98333,34.98333
201,"Eden Prairie, MN",-93.47079,44.85469000000001
201,"Newport Beach, CA",-117.92895,33.61891
201,"Chiba-ken,JP",140.11667,35.6
200,"Fort Wayne, IN",-85.12886,41.1306
199,"Bothell, WA",-122.2054,47.76232
199,"Tainan,TW",120.21333,22.99083
198,"Toyohashi,JP",137.38333,34.76667
198,"Amsterdam,NL",4.88969,52.37403
197,"Reno, NV",-119.8138,39.52963
197,"Deerfield, IL",-87.84451,42.17114
196,"Hopewell Junction, NY",-73.80874,41.58398
196,"Ithaca, NY",-76.49661,42.44063
194,"Lisle, IL",5.05092,43.91915
193,"Littleton, CO",-105.01665,39.61332
192,"Ames, IA",-93.61994,42.03471
191,"Madison, NJ",-74.4171,40.75982
191,"Arlington Heights, IL",-87.98063,42.08836
190,"Quebec,CA",-71.21454,46.81228
189,"Wappingers Falls, NY",-73.91096999999998,41.59648
189,"Essen,DE",7.0122800000000005,51.45657
189,"Duesseldorf,DE",6.776160000000001,51.22172
188,"Nagano-ken,JP",138.18333,36.65
188,"Suita,JP",135.51567,34.76143
187,"Des Moines, IA",-93.60911,41.60054
187,"Evanston, IL",-87.69006,42.04114000000001
186,"Nagaokakyo,JP",135.67881,34.9284
185,"Toyonaka,JP",135.46931999999998,34.78244
185,"Waltham, MA",-71.23561,42.37649
185,"Costa Mesa, CA",-117.91867,33.64113
185,"Munich ,DE",11.57549,48.13743
184,"Lyons,FR",1.47709,49.39892
184,"Rehovot,IL",34.81199,31.89421
183,"Plymouth, MN",-93.45551,45.01052
183,"Tenri,JP",135.83333000000002,34.58333
182,"Santa Ana, CA",-117.86783,33.74557
182,"Glenview, IL",-87.78784,42.06975
182,"Courbevoie,FR",2.25666,48.89672
181,"Bagsvaerd,DK",12.46296,55.76943000000001
180,"Corning, NY",-76.89107,42.1598
180,"Tochigi,JP",139.88333,36.56667
180,"Lawrenceville, GA",-83.98796,33.95621
180,"London,GB2",-0.12775830000000002,51.5073509
179,"Bartlesville, OK",-95.98082,36.74731
178,"Meridian, ID",-116.39151,43.61211
178,"Tokyo-To,JP",140.05077,31.43885
178,"Nakai-machi,JP",139.21518,35.33607999999999
178,"Canton, MI",-83.48216,42.30865
177,"Belmont, CA",-75.41592,49.13344
177,"Sugar Land, T",-95.6349463,29.6196787
177,"Kansas City, MO",-94.57857,39.09973
177,"Woodland Hills, CA",-118.60592,34.16834
176,"Portola Valley, CA",-122.23524,37.38411
176,"Wichita, KS",-97.33754,37.69224000000001
175,"Winnipeg,CA",-97.14704,49.8844
175,"Frankfurt am Main,DE",8.68417,50.11552
175,"Columbia, MD",-76.83941999999998,39.24038
174,"Incheon,KR",126.70515,37.45646
174,"Kokomo, IN",-86.1336,40.48643
172,"Yamaguchi,JP",131.46667,34.18333
172,"Edina, MN",-93.34995,44.88969
172,"Buffalo Grove, IL",-87.95979,42.15141
172,"Miyagi-ken,JP",140.86667,38.26667
171,"Somerville, NJ",-74.60988,40.57427
170,"Fullerton, CA",-117.92534,33.870290000000004
170,"Brussels,BE",4.3487800000000005,50.85045
170,"Oak Ridge, TN",-84.26964,36.01036
170,"Oakdale, MN",-92.96494,44.96302
169,"Andover, MA",-71.137,42.65843
