Count,City,lons,lats
72325,"Tokyo, JP",139.69171,35.6895
31251,"Seoul, KR",126.9784,37.566
26080,"Kanagawa, JP",139.65,35.43333
25369,"San Jose, CA",-121.89496,37.33939
24332,"Osaka, JP",135.50218,34.693740000000005
22418,"San Diego, CA",-117.15726,32.71533
16763,"Kawasaki, JP",139.71722,35.52056
16386,"San Francisco, CA",-122.41942,37.77493
14888,"Yokohama, JP",139.65,35.43333
12930,"Shenzhen, CN",114.0683,22.54554
12797,"Austin, T",-97.7431,30.2672
12221,"Sunnyvale, CA",-122.03635,37.36883
12070,"Daejeon, KR",127.41972,36.32139
11743,"Suwon-si, KR",127.00889,37.29111
11242,"Seattle, WA",-122.33207,47.60621
10297,"Taipei, TW",121.53185,25.04776
10220,"Houston, T",-95.06327,31.41296
10086,"Beijing, CN",116.39723,39.9075
9888,"Hsinchu, TW",120.96861,24.80361
9810,"Mountain View, CA",-122.08385,37.38605
8735,"Redmond, WA",-122.12151,47.67399
8651,"Santa Clara, CA",-121.95524,37.35411
8574,"Palo Alto, CA",-122.14302,37.44188
8412,"New Taipei, TW",121.46719,25.01427
8039,"New York, NY",-74.00596999999998,40.71427
7960,"Cupertino, CA",-122.03218,37.323
7275,"Kyoto, JP",135.75385,35.02107
7239,"Yongin-si, KR",127.17795,37.23825
7213,"Gyeonggi-do, KR",127.00889,37.29111
7161,"Fremont, CA",-121.98857,37.54827
7039,"Armonk, NY",-73.71401999999998,41.12648
6101,"Chicago, IL",-87.65005,41.85003
5995,"Shanghai, CN",121.45806,31.22222
5895,"Irvine, CA",-117.82311,33.66946
5727,"Paris, FR",2.3488,48.85341
5687,"Singapore, SG",103.85007,1.28967
5386,"Saitama, JP",139.65657,35.90807
5310,"Bellevue, WA",-122.20068,47.61038
5141,"Portland, OR",-122.67621,45.52345
5098,"Atlanta, GA",-84.38798,33.749
5020,"Nagoya, JP",136.90641000000002,35.181470000000004
4714,"Eindhoven, NL",5.47778,51.44083
4704,"Cambridge, MA",-71.10561,42.3751
4572,"Munich, DE",11.57549,48.13743
4558,"Bangalore, IN",77.59369000000002,12.97194
4355,"Hsin-Chu, TW",120.96861,24.80361
4179,"Chiba, JP",140.11667,35.6
4149,"Yongin, KR",127.17795,37.23825
4143,"Waterloo, CA",-80.38593,43.45747
3923,"Anyang-si, KR",126.92694,37.3925
3884,"Los Angeles, CA",-118.24368,34.05223
3793,"Cincinnati, OH",-84.45689,39.162
3763,"Taichung, TW",120.6839,24.1469
3640,"Boise, ID",-116.20345,43.6135
3603,"Los Altos, CA",-122.11413,37.38522
3598,"Raleigh, NC",-78.63861,35.7721
3562,"Menlo Park, CA",-122.18219,37.45383
3492,"London, GB",-0.12574000000000002,51.50853
3424,"Stuttgart, DE",9.17702,48.78232
3391,"Seongnam-si, KR",127.13778,37.43861
3228,"Ibaraki, JP",140.45,36.35
3208,"Toronto, CA",-79.4163,43.70011
3202,"Dallas, T",-96.6136,32.8479
3198,"Wilmington, DE",-75.54659000000002,39.74595
3179,"Minneapolis, MN",-93.26384,44.97997
3037,"Hwaseong-si, KR",126.8169,37.20682
2995,"Rochester, MN",-92.4699,44.02163
2990,"Plano, T",-96.6988856,33.0198431
2979,"Ann Arbor, MI",-83.74088,42.27756
2960,"Kanagawa-ken, JP",139.65,35.43333
2951,"Tucson, AZ",-110.92648,32.221740000000004
2909,"Toyota, JP",137.15,35.08333
2870,"Redwood City, CA",-122.23635,37.48522
2850,"Rochester, NY",-77.61556,43.15478
2845,"Berlin, DE",13.41053,52.52437
2826,"Shizuoka, JP",138.38333,34.98333
2813,"Saratoga, CA",-122.02301,37.26383
2782,"Cambridge, GB",0.11667,52.2
2770,"Ottawa, CA",-75.69811999999997,45.41117
2749,"Pittsburgh, PA",-79.99589,40.44062
2739,"Milpitas, CA",-121.90662,37.42827
2728,"Carlsbad, CA",-117.35059,33.15809
2665,"Cary, NC",-78.78112,35.79154000000001
2641,"Hyogo, JP",135.183,34.6913
2594,"Los Gatos, CA",-121.97468,37.22661
2570,"Taoyuan County, TW",120.59056,23.60361
2548,"St. Paul, MN",-93.09327,44.94441
2546,"Tainan, TW",120.21333,22.99083
2525,"Stockholm, SE",18.0649,59.33258000000001
2491,"Reno, NV",-119.8138,39.52963
2483,"Boulder, CO",-105.27055,40.01499
2477,"Beaverton, OR",-122.80371,45.48706
2472,"Oakland, CA",-122.2708,37.80437
2470,"Taipei Hsien, TW",121.53185,25.04776
2452,"Wako, JP",139.62333,35.78944
2448,"Pleasanton, CA",-121.87468,37.66243
2421,"Kaohsiung, TW",120.31333,22.61626
2419,"Boston, MA",-71.05977,42.35843
2327,"Overland Park, KS",-94.67079,38.98223
2309,"Kirkland, WA",-122.20874,47.68149
2293,"Kobe, JP",135.183,34.6913
2251,"Kariya, JP",136.98333,34.98333
2248,"Phoenix, AZ",-112.07404,33.44838
2246,"Charlotte, NC",-80.84313,35.22709000000001
2245,"St. Louis, MO",-90.19789,38.62727
2215,"Haifa, IL",34.9885,32.81841
2179,"Aichi, JP",136.90641000000002,35.181470000000004
2167,"Las Vegas, NV",-115.13722,36.17497
2165,"Durham, NC",-78.89862,35.99403
2106,"Espoo, FI",24.6522,60.2052
2050,"San Mateo, CA",-122.32553,37.56299
2028,"Schenectady, NY",-73.93956999999997,42.81424000000001
2014,"Milan, IT",9.18951,45.46427
1987,"San Antonio, T",-98.4936,29.4241
1968,"Yorktown Heights, NY",-73.77763,41.27093
1944,"Lexington, MA",-71.2245,42.44732
1920,"Hamburg, DE",10.01534,53.57532
1917,"Sammamish, WA",-122.10123,47.5776
1912,"Washington, DC",-77.03636999999998,38.89511
1881,"Madison, WI",-89.40123,43.07305
1874,"Atsugi, JP",139.45017,35.45460999999999
1855,"Indianapolis, IN",-86.15804,39.76838
1855,"Princeton, NJ",-74.65905,40.34872
1804,"Salt Lake City, UT",-111.89105,40.76078
1789,"Hachioji, JP",139.32388999999998,35.65583
1733,"Detroit, MI",-83.04575,42.33143
1716,"Nagano, JP",138.18333,36.65
1699,"Berkeley, CA",-122.27275,37.87159000000001
1699,"Vancouver, CA",-123.11934,49.24966
1681,"Poughkeepsie, NY",-73.92097,41.70037
1678,"San Ramon, CA",-121.97802,37.77993
1675,"Dresden, DE",13.738320000000002,51.05089
1672,"Foster City, CA",-122.27108,37.55855
1671,"Hsinchu County, TW",120.96861,24.80361
1659,"Sugar Land, T",-95.6349463,29.6196787
1655,"Hitachinaka, JP",140.55789,36.39596
1648,"Fort Collins, CO",-105.08442,40.58526
1637,"Moscow, RU",37.61556,55.75222
