Count,City,lons,lats
44912,"Tokyo, JP",139.69171,35.6895
14733,"Seoul, KR",126.9784,37.566
12351,"Osaka, JP",135.50218,34.693740000000005
12061,"San Jose, CA",-121.89496,37.33939
10921,"Kanagawa, JP",139.65,35.43333
8502,"Kawasaki, JP",139.71722,35.52056
7811,"San Diego, CA",-117.15726,32.71533
7586,"Yokohama, JP",139.65,35.43333
6422,"Suwon-si, KR",127.00889,37.29111
6421,"Austin, T",-97.7431,30.2672
6193,"Armonk, NY",-73.71401999999998,41.12648
6059,"Sunnyvale, CA",-122.03635,37.36883
5632,"Houston, T",-95.06327,31.41296
5324,"San Francisco, CA",-122.41942,37.77493
5200,"Santa Clara, CA",-121.95524,37.35411
5088,"Taipei, TW",121.53185,25.04776
4967,"Redmond, WA",-122.12151,47.67399
4541,"Hsinchu, TW",120.96861,24.80361
4138,"Gyeonggi-do, KR",127.00889,37.29111
4121,"Seattle, WA",-122.33207,47.60621
3925,"Palo Alto, CA",-122.14302,37.44188
3872,"Mountain View, CA",-122.08385,37.38605
3840,"New York, NY",-74.00596999999998,40.71427
3788,"Daejeon, KR",127.41972,36.32139
3642,"Kyoto, JP",135.75385,35.02107
3602,"Shenzhen, CN",114.0683,22.54554
3496,"Yongin-si, KR",127.17795,37.23825
3295,"Cupertino, CA",-122.03218,37.323
3205,"Munich, DE",11.57549,48.13743
3181,"Irvine, CA",-117.82311,33.66946
3039,"Fremont, CA",-121.98857,37.54827
2985,"Saitama, JP",139.65657,35.90807
2965,"Beijing, CN",116.39723,39.9075
2940,"Chicago, IL",-87.65005,41.85003
2826,"Paris, FR",2.3488,48.85341
2816,"Singapore, SG",103.85007,1.28967
2481,"Atlanta, GA",-84.38798,33.749
2370,"Wilmington, DE",-75.54659000000002,39.74595
2337,"Eindhoven, NL",5.47778,51.44083
2333,"Boise, ID",-116.20345,43.6135
2301,"Bellevue, WA",-122.20068,47.61038
2242,"Portland, OR",-122.67621,45.52345
2232,"Nagoya, JP",136.90641000000002,35.181470000000004
2195,"Balmain, AU",151.1833,-33.85481
2177,"Taipei Hsien, TW",121.53185,25.04776
2147,"Cincinnati, OH",-84.45689,39.162
2034,"Dallas, T",-96.6136,32.8479
2006,"Chiba, JP",140.11667,35.6
1975,"Cambridge, MA",-71.10561,42.3751
1957,"Hsin-Chu, TW",120.96861,24.80361
